client_name,invoice_number,invoice_date,due_date,item_description,item_quantity,item_total_price,tax,discount,total,payment_due_date,bank_name,account_number,payment_method
Mendoza-Scott,36475327,08/23/2020,,"HP All-in-One Computer 22"" Full-HD Display Intel 2.90GHz 4GB 1TB HD Win10 - TEAL","1,00","494,99","509,56",,"5,605,15",,,GB78YNHU63382554245346,
Warren Group,48440593,06/27/2014,,Super Nintendo Entertainment System SNES Console Bundle W/ 2 Controllers & Games,"5,00","714,95","329,17",,"3,620,84",,,GB40VGC/90786614549219,
Warren Group,48440593,06/27/2014,,Nintendo Gameboy Color Console Clear with Box Manual CGB-001 GBC Japan Tested 63,"4,00","528,00","329,17",,"3,620,84",,,GB40VGC/90786614549219,
Warren Group,48440593,06/27/2014,,Nintendo Switch 32GB Neon Red/Neon Blue Console,"4,00","1,320,00","329,17",,"3,620,84",,,GB40VGC/90786614549219,
Warren Group,48440593,06/27/2014,,Sony PlayStation 3 PS3 Super Slim Black Console 20 GB *Tested* Console & Cables,"5,00","549,73","329,17",,"3,620,84",,,GB40VGC/90786614549219,
Warren Group,48440593,06/27/2014,,Sony PlayStation Gray PS1 Console! CONSOLE ONLY! Tested Working!,"1,00","24,19","329,17",,"3,620,84",,,GB40VGC/90786614549219,
Warren Group,48440593,06/27/2014,,"VTech Game Console Bundle- Console, Art Studio, Games, 2 Controllers- TESTED!","2,00","483,98","329,17",,"3,620,84",,,GB40VGC/90786614549219,
Kane-Morgan,49565075,10/28/2019,,Anthropologie Gold Elegant Swan Decorative Metal Bottle Stopper Wine Saver,"3,00","65,93","8,79",,"96,73",,,GB73WC55232646970614,
Kane-Morgan,49565075,10/28/2019,,Lolita Happy Retirement Wine Glass 15 Ounce GLS11-5534H,"1,00","8,80","8,79",,"96,73",,,GB73WC55232646970614,
Kane-Morgan,49565075,10/28/2019,,"Lolita ""Congratulations""* Hand Painted and Decorated Wine Glass NIB","1,00","22,00","8,79",,"96,73",,,GB73WC55232646970614,
"Gutierrez, Shah and Davis",15203117,05/10/2019,,boys shoes size 5,"4,00","25,52","2,32",,"25,52",,,GB12Y1HU88023545549081,
Kelly-Herring,53737787,12/08/2011,,Breaking Free from Depression: Pathways to Wellness by Jesse H. Wright (English),"2,00","72,47","18,68",,"205,50",,,GB71IDE154877186092625,
Kelly-Herring,53737787,12/08/2011,,The Graphic Design Reference & Specification Book: Everything Graphic Designers,"5,00","110,99","18,68",,"205,50",,,GB71IDE154877186092625,
Kelly-Herring,53737787,12/08/2011,,Escape from the Carnival of Horrors (Give Yourself Goosebumps) by R. L. Stine,"4,00","22,04","18,68",,"205,50",,,GB71IDE154877186092625,
Martin-Morgan,90265578,12/29/2017,,Vintage Metal Art Sculpture Carving Chef Wine Bottle Holder and Display Tin Chef,"3,00","85,73","99,57",,"1,095,24",,,GB76K/BW37918613762226,
Martin-Morgan,90265578,12/29/2017,,Set of 4 Green Wine glasses,"2,00","2,18","99,57",,"1,095,24",,,GB76K/BW37918613762226,
Martin-Morgan,90265578,12/29/2017,,"set of 6 German Roemer wine glasses,make in france","2,00","121,00","99,57",,"1,095,24",,,GB76K/BW37918613762226,
Martin-Morgan,90265578,12/29/2017,,Vintage Wine Basket Holder 3 Bottles,"5,00","181,45","99,57",,"1,095,24",,,GB76K/BW37918613762226,
Martin-Morgan,90265578,12/29/2017,,6) Vintage Leaf Etched Straight Sided Wine Glasses. Set of 6. Unknown Maker,"5,00","357,50","99,57",,"1,095,24",,,GB76K/BW37918613762226,
Martin-Morgan,90265578,12/29/2017,,"Selmash Lux Home Alcohol Distiller Kit for wine brewing, 15 20 30 I","2,00","347,38","99,57",,"1,095,24",,,GB76K/BW37918613762226,
Roth-Smith,49923258,10/26/2011,,"Original Nintendo Gaming Console with Robot, 9 games & extras","1,00","522,50","107,50",,"1,182,50",,,GB25DWRK25073532649300,
Roth-Smith,49923258,10/26/2011,,"Nintendo Switch Gaming Console W/ Neon Blue & Red Controllers,Carry Case,Cable","2,00","660,00","107,50",,"1,182,50",,,GB25DWRK25073532649300,
"Rivera, Cruz and Lane",23436462,03/06/2012,,"15""x15"" White Marble Chess 4,00 each","4,00","640,00","3,534,52",,"38,879,73",,,GB71RHSP90814980139214,
"Rivera, Cruz and Lane",23436462,03/06/2012,,"Top Table Carnelian Inlay Art Black Friday Gift Deco 18"" White Marble Corner Coffee Table 2,00 each","2,00","877,01","3,534,52",,"38,879,73",,,GB71RHSP90814980139214,
"Rivera, Cruz and Lane",23436462,03/06/2012,,"Table Top Lapis Floral Inlay Kitchen Decors W282 6""x3"" Marble Dining Center Table 2,00 each","2,00","14,624,74","3,534,52",,"38,879,73",,,GB71RHSP90814980139214,
"Rivera, Cruz and Lane",23436462,03/06/2012,,"25 Inches Black Marble Center Table 5,00 each","5,00","4,021,87","3,534,52",,"38,879,73",,,GB71RHSP90814980139214,
"Rivera, Cruz and Lane",23436462,03/06/2012,,"Table Top with Multi Stones Coffee Table for Home 12"" Marble Coffee Side Table 2,00 each","2,00","547,32","3,534,52",,"38,879,73",,,GB71RHSP90814980139214,
"Rivera, Cruz and Lane",23436462,03/06/2012,,"Top Lapis Peacock Floral Inlay Bedroom Decors W019 12"" White Marble Side Coffee Table 5,00 each","5,00","1,362,79","3,534,52",,"38,879,73",,,GB71RHSP90814980139214,
"Rivera, Cruz and Lane",23436462,03/06/2012,,"Table Top. Jasper Elephant Inlay Garden Decor W026 48 Inch Marble Restaurant Table 5,00 each","5,00","14,806,00","3,534,52",,"38,879,73",,,GB71RHSP90814980139214,
"Graham, Floyd and Johnson",34911755,01/30/2019,,Metal Storage Shelf Wine Glass Rack Wine Glasses for The Cabinet,"5,00","123,31","18,11",,"199,20",,,GB96HTSB65053102617380,
"Graham, Floyd and Johnson",34911755,01/30/2019,,Wine Things Unlimited - Tipsy Wine Elf - Pewter Wine Bottle Stopper/Cork,"1,00","9,89","18,11",,"199,20",,,GB96HTSB65053102617380,
"Graham, Floyd and Johnson",34911755,01/30/2019,,Set of 2 Stemless Christmas Wine Glasses NEW,"5,00","66,00","18,11",,"199,20",,,GB96HTSB65053102617380,
Alvarado-Patel,11724045,04/09/2019,,Hippie 3D Starry Sky CarpetChild Play Area Rug Kids Room Carpets Mat Home Decor,"5,00","64,29","100,07",,"1,100,73",,,GB22ZRXH48162486613715,
Alvarado-Patel,11724045,04/09/2019,,Deluxe Soft Faux Sheepskin Shaggy Area Floor Rugs Kids Play Carpet,"4,00","61,69","100,07",,"1,100,73",,,GB22ZRXH48162486613715,
Alvarado-Patel,11724045,04/09/2019,,Imitation Wool Carpet RugsKoala Panda Plush Living Room Blankets Non Slip Decor,"2,00","57,44","100,07",,"1,100,73",,,GB22ZRXH48162486613715,
Alvarado-Patel,11724045,04/09/2019,,51.2x31.5in Area Rugs Road Traffic Baby Crawling Carpet Blanket Floor Mat,"1,00","47,07","100,07",,"1,100,73",,,GB22ZRXH48162486613715,
Alvarado-Patel,11724045,04/09/2019,,Silky Fake Fur Fluffy Carpets Non-slip Shaggy Area Rug Floor Mat Light Pink,"1,00","15,53","100,07",,"1,100,73",,,GB22ZRXH48162486613715,
Alvarado-Patel,11724045,04/09/2019,,6'8 X 5' Handwoven Afghan Kilim Wool Area Rug Kelim Tapis Oriental Carpet #4434,"3,00","854,70","100,07",,"1,100,73",,,GB22ZRXH48162486613715,
Lee and Sons,62517865,06/02/2015,,Care & Repair of Furniture,"2,00","9,35","0,85",,"9,35",,,GB73HCPH34959888432899,
Evans-Nelson,22553110,07/26/2011,,"Clear Acrylic Table, Breakfast Table, Tradeshow Desk","2,00","597,78","4,057,32",,"44,630,49",,,GB64LGRS58419726002675,
Evans-Nelson,22553110,07/26/2011,,4Pcs Adjustable Stainless Steel Cabinet Legs Kitchen Feet Round Stand Holders,"4,00","52,58","4,057,32",,"44,630,49",,,GB64LGRS58419726002675,
Evans-Nelson,22553110,07/26/2011,,"12""x18"" White Marble Coffee Top Table Lapis Inlay Pietradura Floral Art Decor","3,00","1,308,62","4,057,32",,"44,630,49",,,GB64LGRS58419726002675,
Evans-Nelson,22553110,07/26/2011,,"18"" Marble White Top Chess Table Handmade Collectible Black Friday Gift Décor","3,00","1,851,30","4,057,32",,"44,630,49",,,GB64LGRS58419726002675,
Evans-Nelson,22553110,07/26/2011,,6'x3'' Black Marble Dining Table Pietradura Inlay Scagaliola Stone Decorate H3096,"4,00","34,528,21","4,057,32",,"44,630,49",,,GB64LGRS58419726002675,
Evans-Nelson,22553110,07/26/2011,,Marquetry Art Marble Inlay Table Top Octagon Dinning Table Home Assent 48 Inches,"2,00","6,292,00","4,057,32",,"44,630,49",,,GB64LGRS58419726002675,
"Bernard, Welch and Freeman",67095041,12/14/2018,,Champagne Glass Holder,"4,00","87,96","8,00",,"87,96",,,GB441/G064103154190692,
"Sparks, Wang and West",81153047,12/12/2020,,Rectangle Area Rug Wood Grain Carpet Mat for Living Room Bedroom - 180x60cm,"4,00","144,36","18,47",,"203,19",,,GB43DZX0212621262972226499,
"Sparks, Wang and West",81153047,12/12/2020,,Romantic Rose Flowers Area Rugs Kitchen Living Room Floor Mat Non-slip Carpets,"4,00","58,83","18,47",,"203,19",,,GB43DZX0212621262972226499,
Simon-Colon,93356118,06/14/2013,,Semi Precious Stone Inlay Art Island Table Top Marble Dinning Table 36 Inches,"5,00","751,25","876,90",,"9,645,88",,,GB81XWKP43253048936289,
Simon-Colon,93356118,06/14/2013,,6 Pack Metal Plated Table Locks Dining Training Table Buckles Connectors Hardwar,"1,00","12,73","876,90",,"9,645,88",,,GB81XWKP43253048936289,
Wood-Mccarty,95434324,10/16/2017,,"Durango Lil', Little Kid Saddle Western Casual Western Tan Boys - Size 2 M","4,00","299,20","93,34",,"1,026,70",,,GB520HPZ44460592209057,
Wood-Mccarty,95434324,10/16/2017,,Nike Air Precision High-Top Basketball White/Black Shoes Boy's Size 7.5,"5,00","27,45","93,34",,"1,026,70",,,GB520HPZ44460592209057,
Wood-Mccarty,95434324,10/16/2017,,Adult Girl Version Hermione Granger Cosplay Costume Gryffindor Kid size In Stock,"3,00","211,73","93,34",,"1,026,70",,,GB520HPZ44460592209057,
Wood-Mccarty,95434324,10/16/2017,,Joma Youth Boys Gol 205 Piso Multitaco Soccer Cleats 2.5 White Blue Yellow NEW,"2,00","43,98","93,34",,"1,026,70",,,GB520HPZ44460592209057,
Wood-Mccarty,95434324,10/16/2017,,Roper Boys' American Patriot Boot Square Toe Sz 4 Big Kids Flag Red White Blue,"4,00","215,60","93,34",,"1,026,70",,,GB520HPZ44460592209057,
Wood-Mccarty,95434324,10/16/2017,,Timberland Kid's Brown Field Scuff-Proof Boots Size 7,"5,00","219,95","93,34",,"1,026,70",,,GB520HPZ44460592209057,
Wood-Mccarty,95434324,10/16/2017,,Timberland brown slip on shoes size 4.5 juniors,"4,00","8,80","93,34",,"1,026,70",,,GB520HPZ44460592209057,
Rachelport,77658002,01/21/2014,,Divided Black Asymmetrical Dress -size 8 - NWT,"1,00","8,79","29,38",,"323,14",,,GB69HUXE82460947316450,
Rachelport,77658002,01/21/2014,,Eileen Fisher Women's Long Sleeve Fleece Lined Front Pockets Dress XS Gray,"4,00","70,36","29,38",,"323,14",,,GB69HUXE82460947316450,
Rachelport,77658002,01/21/2014,,db Yellow Link Print Fit and Flare Sleeveless Dress Sz M/L,"3,00","49,47","29,38",,"323,14",,,GB69HUXE82460947316450,
Rachelport,77658002,01/21/2014,,womens sparkle dress size 2X Holiday Party RED metallic,"5,00","54,95","29,38",,"323,14",,,GB69HUXE82460947316450,
Rachelport,77658002,01/21/2014,,Lands End Womens 3/4 Sleeve Dress Plus 3X Navy Blue Floral Cotton Knit 482038,"4,00","93,41","29,38",,"323,14",,,GB69HUXE82460947316450,
Rachelport,77658002,01/21/2014,,Liza Byrd Dress Sz L- Coral Green Medallion Print Short Sleeve 100% Cotton Line,"2,00","39,58","29,38",,"323,14",,,GB69HUXE82460947316450,
Rachelport,77658002,01/21/2014,,CLIFFORD & WILLS BLACK NET/MESH OVER TAUPE LONG DRESS SIZE 4,"1,00","6,59","29,38",,"323,14",,,GB69HUXE82460947316450,
Walker PLC,51661013,05/11/2021,,J.Crew Collection Black & White sweater Dress SZ S,"5,00","165,00","18,00",,"198,00",,,GB77VPGW87361378022647,
Walker PLC,51661013,05/11/2021,,WD NY BLACK & OFF WHITE DRESS SIZE 8 Button Front,"3,00","33,00","18,00",,"198,00",,,GB77VPGW87361378022647,
Boyle Ltd,97511742,04/07/2016,,Nintendo Wii New Super Mario Bros Console System Bundle Gamecube Compatible,"1,00","98,99","431,49",,"4 746,42",,,GB49WFLF189818981790361495,
Boyle Ltd,97511742,04/07/2016,,Sony PlayStation 5 Console - White Disc Version - CONFIRMED PRE ORDER PS5,"1,00","549,99","431,49",,"4 746,42",,,GB49WFLF189818981790361495,
Boyle Ltd,97511742,04/07/2016,,Microsoft Xbox One S 1TB Console - White,"5,00","1 039,50","431,49",,"4 746,42",,,GB49WFLF189818981790361495,
Boyle Ltd,97511742,04/07/2016,,Nintendo Wii Teal Blue Limited Edition Console with Mario Kart - MINT TESTED,"2,00","252,98","431,49",,"4 746,42",,,GB49WFLF189818981790361495,
